"genotype" "location" "treatment" "timepoint" "condition" "samptype" "bleach" "propd" "origin"
"X69_75_400_h_5h" "75" "400" "h" 5 "h_400_5h" "h_5h" 2 0.975359343 "HV"
"X121_75_400_h_20h" "75" "400" "h" 20 "h_400_20h" "h_20h" 2 0.978602895 "HV"
"X33_83_300_c_5h" "83" "300" "c" 5 "c_300_5h" "c_5h" 1 0.97734139 "HV"
"X86_83_300_c_20h" "83" "300" "c" 20 "c_300_20h" "c_20h" 1 0.977725674 "HV"
"X46_83_300_h_5h" "83" "300" "h" 5 "h_300_5h" "h_5h" 3 0.977839335 "HV"
"X98_83_300_h_20h" "83" "300" "h" 20 "h_300_20h" "h_20h" 3 0.989085948 "HV"
"X25_83_400_c_5h" "83" "400" "c" 5 "c_400_5h" "c_5h" 1 0.972447326 "HV"
"X137_83_400_c_20h" "83" "400" "c" 20 "c_400_20h" "c_20h" 1 0.990506329 "HV"
"X8_83_400_h_5h" "83" "400" "h" 5 "h_400_5h" "h_5h" 2 0.987603306 "HV"
"X149_83_400_h_20h" "83" "400" "h" 20 "h_400_20h" "h_20h" 2 0.981674302 "HV"
"X35_85_300_c_5h" "85" "300" "c" 5 "c_300_5h" "c_5h" 1 0.20531401 "HV"
"X88_85_300_c_20h" "85" "300" "c" 20 "c_300_20h" "c_20h" 1 0.53577371 "HV"
"X48_85_300_h_5h" "85" "300" "h" 5 "h_300_5h" "h_5h" 3 0.089403974 "HV"
"X100_85_300_h_20h" "85" "300" "h" 20 "h_300_20h" "h_20h" 3 0.285299807 "HV"
"X34_85_400_c_5h" "85" "400" "c" 5 "c_400_5h" "c_5h" 1 0.00185701 "HV"
"X87_85_400_c_20h" "85" "400" "c" 20 "c_400_20h" "c_20h" 1 0.016009852 "HV"
"X47_85_400_h_5h" "85" "400" "h" 5 "h_400_5h" "h_5h" 4 0.003286771 "HV"
"X99_85_400_h_20h" "85" "400" "h" 20 "h_400_20h" "h_20h" 4 0.034700315 "HV"
"X11_87_300_c_5h" "87" "300" "c" 5 "c_300_5h" "c_5h" 1 0.983308042 "HV"
"X18_86_300_c_5h" "87" "300" "c" 5 "c_300_5h" "c_5h" 1 0.976190476 "HV"
"X140_86_300_c_20h" "87" "300" "c" 20 "c_300_20h" "c_20h" 1 0.980361684 "HV"
